Model,R2_Accuracy,RMSE,MAE
Ridge Regression,0.9835826253098545,2.782646853083926,1.6749407284432458
Linear Regression,0.9835015992137963,2.7895051208676698,1.668900002905385
Lasso Regression,0.9594915975757217,4.370979766843578,3.4476484278158606
Dense NN,0.9270296538143851,5.8665049518998424,4.245662443516618
